accelerometerX,accelerometerY,accelerometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,deviceID
1892,-759,213,-25,4,11,10003
1889,-767,214,-15,8,6,10003
1887,-759,213,-5,6,-10,10003
1885,-759,220,5,7,-8,10003
1888,-760,218,17,10,-12,10003
1883,-769,203,21,14,-10,10003
1883,-760,210,33,-5,2,10003
1880,-749,207,31,-1,-1,10003
1887,-756,208,28,8,3,10003
1877,-771,217,35,7,0,10003
1869,-769,203,43,-1,7,10003
1878,-757,207,47,11,7,10003
1883,-761,199,51,8,21,10003
1893,-755,211,51,4,4,10003
1900,-761,207,48,12,4,10003
1898,-773,198,60,18,12,10003
1897,-759,213,63,21,19,10003
1882,-744,210,56,25,34,10003
1876,-749,211,50,19,38,10003
1872,-733,192,38,21,48,10003
1867,-733,195,28,14,54,10003
1867,-721,192,11,13,62,10003
1879,-718,192,-6,-2,61,10003
1878,-720,187,-38,-2,52,10003
1878,-722,201,-67,-6,39,10003
1881,-732,198,-84,-7,20,10003
1883,-734,209,-107,-6,-2,10003
1875,-748,200,-112,-14,-8,10003
1872,-764,210,-112,-4,-10,10003
1875,-775,227,-97,-7,-2,10003
1873,-787,217,-75,-13,15,10003
1878,-793,227,-42,-20,16,10003
1877,-785,217,-24,-18,29,10003
1879,-774,227,-11,-16,21,10003
1877,-781,219,-3,-22,35,10003
1881,-782,218,10,-27,45,10003
1885,-778,224,17,-27,44,10003
1886,-774,218,35,-12,27,10003
1880,-776,218,46,-13,21,10003
1883,-766,213,55,-16,19,10003
1889,-757,215,69,-16,21,10003
1878,-761,222,58,-11,7,10003
1884,-752,210,64,-16,15,10003
1879,-762,209,54,-12,19,10003
1871,-744,197,63,-14,24,10003
1871,-745,195,58,-20,37,10003
1888,-734,202,42,-25,21,10003
1890,-731,200,45,-28,24,10003
1897,-730,205,33,-29,25,10003
1893,-720,203,19,-30,21,10003
1905,-722,213,6,-24,4,10003
1902,-724,224,-4,-28,3,10003
1906,-730,214,-30,-25,-19,10003
1897,-747,209,-35,-23,-24,10003
1888,-744,223,-40,-22,-32,10003
1884,-751,217,-30,-21,-18,10003
1880,-752,232,-38,-13,-22,10003
1883,-768,232,-32,-20,-11,10003
1877,-766,211,-23,-23,-6,10003
1880,-760,209,-8,-19,-6,10003
1882,-769,203,-9,-17,-4,10003
1880,-763,218,3,-9,1,10003
